Nombre,Categoría,Precio Venta,Stock
Vodka Smirnoff Edicion Especial Vol. 1,Vodka,165000.00,136
Johnnie Walker Edicion Especial Vol. 2,Wisky,295000.00,69
Ron Viejo de Caldas Edicion Especial Vol. 3,Ron,260000.00,75
Aguardiente Llanero Edicion Especial Vol. 4,Aguardiente,105000.00,72
Old Parr Edicion Especial Vol. 5,Wisky,150000.00,57
Vodka Grey Goose Edicion Especial Vol. 6,Vodka,295000.00,16
Ginebra Beefeater Edicion Especial Vol. 7,Ginebra,265000.00,79
Ginebra Bombay Edicion Especial Vol. 8,Ginebra,20000.00,81
Ron Medellín Edicion Especial Vol. 9,Ron,155000.00,22
Vodka Belvedere Edicion Especial Vol. 10,Vodka,205000.00,27
Ron Santa Fe Edicion Especial Vol. 11,Ron,90000.00,143
Tequila 1800 Edicion Especial Vol. 12,Tequila,245000.00,139
Buchanans Edicion Especial Vol. 13,Wisky,30000.00,77
Tequila Don Julio Edicion Especial Vol. 14,Tequila,250000.00,111
Tequila Herradura Edicion Especial Vol. 15,Tequila,70000.00,62
Ginebra Tanqueray Edicion Especial Vol. 16,Ginebra,185000.00,138
Ginebra Tanqueray Edicion Especial Vol. 17,Ginebra,160000.00,126
Vodka Belvedere Edicion Especial Vol. 18,Vodka,260000.00,19
Tequila Herradura Edicion Especial Vol. 19,Tequila,170000.00,27
Jack Daniels Edicion Especial Vol. 20,Wisky,185000.00,61
Ginebra Bombay Edicion Especial Vol. 21,Ginebra,220000.00,137
Vodka Absolut Edicion Especial Vol. 22,Vodka,265000.00,60
Jack Daniels Edicion Especial Vol. 23,Wisky,210000.00,117
Tequila Don Julio Edicion Especial Vol. 24,Tequila,30000.00,38
Tequila Don Julio Edicion Especial Vol. 25,Tequila,280000.00,138
Ginebra Tanqueray Edicion Especial Vol. 26,Ginebra,255000.00,129
Vodka Absolut Edicion Especial Vol. 27,Vodka,290000.00,78
Vodka Belvedere Edicion Especial Vol. 28,Vodka,170000.00,48
Ginebra Beefeater Edicion Especial Vol. 29,Ginebra,180000.00,92
Aguardiente Llanero Edicion Especial Vol. 30,Aguardiente,145000.00,63
Vodka Absolut Edicion Especial Vol. 31,Vodka,125000.00,64
Aguardiente Llanero Edicion Especial Vol. 32,Aguardiente,95000.00,55
Aguardiente Llanero Edicion Especial Vol. 33,Aguardiente,200000.00,76
Aguardiente Néctar Edicion Especial Vol. 34,Aguardiente,105000.00,127
Jack Daniels Edicion Especial Vol. 35,Wisky,210000.00,92
Tequila Jose Cuervo Edicion Especial Vol. 36,Tequila,125000.00,40
Ginebra Hendricks Edicion Especial Vol. 37,Ginebra,70000.00,19
Jack Daniels Edicion Especial Vol. 38,Wisky,50000.00,75
Johnnie Walker Edicion Especial Vol. 39,Wisky,160000.00,71
Vodka Grey Goose Edicion Especial Vol. 40,Vodka,280000.00,47
Old Parr Edicion Especial Vol. 41,Wisky,80000.00,83
Vodka Smirnoff Edicion Especial Vol. 42,Vodka,235000.00,6
Vodka Grey Goose Edicion Especial Vol. 43,Vodka,100000.00,125
Aguardiente Llanero Edicion Especial Vol. 44,Aguardiente,165000.00,37
Ginebra Hendricks Edicion Especial Vol. 45,Ginebra,100000.00,129
Tequila 1800 Edicion Especial Vol. 46,Tequila,290000.00,142
Tequila Patrón Edicion Especial Vol. 47,Tequila,180000.00,88
Aguardiente Antioqueño Edicion Especial Vol. 48,Aguardiente,50000.00,149
Aguardiente Blanco del Valle Edicion Especial Vol. 49,Aguardiente,150000.00,117
Ron Medellín Edicion Especial Vol. 50,Ron,210000.00,128
